staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,orientation,absolute orientation value
66,0.5,3.5,105.6863222,106.186706,106.186706,106.186706,106.4867079,-3.5,0,1.3090647,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
67,0.5,4,107.5196892,108.020345,108.020345,108.020345,108.3190922,4,1,2.7523838,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
68,0.5,4,110.8031022,111.303486,111.303486,111.303486,111.6031511,-4,1,0.7844652,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
69,0.5,4,112.1195674,112.6201565,112.6201565,112.6201565,112.9199744,4,1,0.6358234,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
70,0.5,3.5,113.2865287,113.7868735,113.7868735,113.7868735,114.086534,-3.5,1,0.7202672,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
71,0.5,3.5,114.5365553,115.0370347,115.0370347,115.0370347,115.3365209,-3.5,1,0.731829,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
72,0.5,3.5,115.7865632,116.2870475,116.2870475,116.2870475,116.5866641,-3.5,1,0.6587439,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
73,0.5,3,116.9699471,117.4700899,117.4700899,117.4700899,117.7696984,-3,1,1.0773619,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
74,0.5,3,118.5701299,119.0702234,119.0702234,119.0702234,119.3698299,3,1,0.6445855,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
75,0.5,3,119.7367341,120.2366386,120.2366386,120.2366386,120.5363662,-3,1,0.6146068,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
76,0.5,2.5,120.8690644,121.3703166,121.3703166,121.3703166,121.6699619,2.5,1,0.7513514,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
77,0.5,2.5,122.1532478,122.6535959,122.6535959,122.6535959,122.9532212,2.5,0,1.1972936,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
78,0.5,3,123.8696892,124.3704969,124.3704969,124.3704969,124.669908,-3,1,0.5646029,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
79,0.5,3,124.9531386,125.4533942,125.4533942,125.4533942,125.7533057,3,1,0.5320062,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
80,0.5,3,126.0031725,126.5039824,126.5039824,126.5039824,126.8032067,-3,1,0.811904,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
81,0.5,2.5,127.336707,127.8370285,127.8370285,127.8370285,128.1364711,2.5,1,1.0271263,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
82,0.5,2.5,128.8864392,129.3868742,129.3868742,129.3868742,129.6866929,-2.5,1,0.6864892,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
83,0.5,2.5,130.103233,130.6035475,130.6035475,130.6035475,130.903232,2.5,1,0.9335073,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
84,0.5,2,131.5530876,132.0537726,132.0537726,132.0537726,132.3532293,2,0,1.4155606,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
85,0.5,2.5,133.4866021,133.9873602,133.9873602,133.9873602,134.2865016,2.5,1,0.5284012,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
86,0.5,2.5,134.5364606,135.0369618,135.0369618,135.0369618,135.3364758,-2.5,1,0.7570879,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
87,0.5,2.5,135.8196172,136.3201797,136.3201797,136.3201797,136.6198161,2.5,1,0.7372423,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
88,0.5,2,137.0864183,137.5868529,137.5868529,137.5868529,137.8862385,-2,0,1.4622566,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
89,0.5,2.5,139.069773,139.5702433,139.5702433,139.5702433,139.8699712,-2.5,1,0.6551219,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
90,0.5,2.5,140.2531174,140.7535253,140.7535253,140.7535253,141.053003,-2.5,0,1.0158402,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
91,0.5,3,141.786651,142.2869536,142.2869536,142.2869536,142.5867944,3,1,0.5779831,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
92,0.5,3,142.8867843,143.3869063,143.3869063,143.3869063,143.6866736,-3,1,0.6097587,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
93,0.5,3,144.0199704,144.5202085,144.5202085,144.5202085,144.8200801,-3,1,0.6886892,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
94,0.5,2.5,145.2365247,145.7370478,145.7370478,145.7370478,146.0363224,-2.5,1,1.3982362,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
95,0.5,2.5,147.1531185,147.6537369,147.6537369,147.6537369,147.953234,2.5,1,0.6680547,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
96,0.5,2.5,148.3532824,148.8541663,148.8541663,148.8541663,149.1538117,-2.5,1,0.6650415,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
97,0.5,2,149.5367976,150.0373151,150.0373151,150.0373151,150.3368439,2,1,0.7099062,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
98,0.5,2,150.7704608,151.2708807,151.2708807,151.2708807,151.5701477,-2,1,0.6541606,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
99,0.5,2,151.9535577,152.4535402,152.4535402,152.4535402,152.753049,-2,0,0.6629819,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
